IDPOLUICAO;LAT;LONG
529;-23,56092;-46,6979604
530;-23,5835366;-46,7558816
531;-23,5931226;-46,7971059
532;-23,5529694;-46,7029029
533;-23,538816;-46,816023
534;-23,5554246;-46,7565671
535;-23,493692;-46,800812
536;-23,5710543;-46,7323128
537;-23,5423399;-46,7581726
538;-23,6164899;-46,4648014
539;-23,5776921;-46,7504831
540;-23,599559;-46,766692
541;-23,6581741;-46,679975
542;-23,539206;-46,8197627
543;-23,5612786;-46,6824265
544;-23,407621;-46,7500819
545;-23,5819769;-46,7419947
546;-23,4589742;-46,6923747
547;-23,6185456;-46,5359825
548;-23,654433;-46,6101871
549;-23,5789841;-46,7424915
550;-23,531693;-46,789925
551;-23,5645455;-46,7526619
552;-23,580353;-46,5469035
553;-23,557024;-46,7452599
554;-23,686407;-46,648983
555;-23,6057463;-46,7392532
556;-23,6150262;-46,8705137
557;-23,5428977;-46,7550694
558;-23,5773118;-46,7078304
559;-23,498008;-46,636378
560;-23,519222;-46,836739
561;-23,6155995;-46,7434557
562;-23,563086;-46,754748
563;-23,52921;-46,7141706
564;-23,5678399;-46,7896708
565;-23,5970969;-46,6020428
566;-23,6065366;-46,7716839
567;-23,5648957;-46,772144
568;-23,5801192;-46,7975717
569;-23,5989679;-46,7668441
570;-23,6194131;-46,9500371
571;-23,56606;-46,7578691
572;-23,57717;-46,7781994
573;-23,6040856;-46,7791274
574;-23,6163964;-46,7871552
575;-23,5746183;-46,7394668
576;-23,5656441;-46,7501479
577;-23,531693;-46,789925
578;-23,4859783;-46,7298782
579;-23,5789105;-46,7532866
580;-23,6013407;-46,7334403
581;-23,5673535;-46,7635337
582;-23,5585178;-46,5809895
583;-23,528578;-46,903313
584;-23,5670876;-46,7527769
585;-23,570932;-46,740742
586;-23,5737762;-46,7479711
587;-23,5712187;-46,7154397
588;-23,6183154;-46,6797877
589;-23,5091898;-46,3695502
590;-23,6618764;-46,7003793
591;-23,5801192;-46,7975717
592;-23,5997314;-46,7692145
593;-23,6521786;-46,7360194
594;-23,5944921;-46,6776324
595;-23,4852444;-46,7041639
596;-23,5758732;-46,7452418
597;-23,2003731;-46,7742367
598;-23,443232;-46,7382815
599;-23,5903374;-46,8030538
600;-23,5795762;-46,8768551
601;-23,5718334;-46,7320272
602;-23,5846835;-46,5213749
603;-23,5641066;-46,681608
604;-23,5511852;-46,7471626
605;-23,5873051;-46,7724463
606;-23,4685967;-46,6790293
607;-23,5561907;-46,5696655
608;-23,5293587;-46,70744
609;-23,5552389;-46,6935088
610;-23,602491;-46,872807
611;-23,5440918;-46,6975808
612;-23,5784922;-46,7529126
613;-23,6242274;-46,7995606
614;-23,5833333;-46,7643674
615;-23,5541208;-46,7832032
616;-23,3136829;-45,9731115
617;-23,5570293;-46,7509543
618;-23,5777665;-46,7459143
619;-23,5530902;-46,6422035
620;-23,5285682;-46,7984603
621;-23,5849077;-46,6066034
622;-23,55024;-46,800529
623;-23,5802889;-46,7905558
624;-23,6098247;-46,8394749
625;-23,5804228;-46,7322875
626;-23,6227884;-46,6377443
627;-23,5290316;-46,8286254
628;-23,4342923;-46,5180495
629;-23,5668618;-46,7448887
630;-23,5708819;-46,7325256
631;-23,5654659;-46,7538437
632;-23,5848984;-46,7902163
633;-23,5328446;-46,8955115
634;-23,5249988;-46,7309612
635;-23,5658417;-46,6588278
636;-23,5439089;-46,8323521
637;-23,6091416;-46,6583035
638;-23,6364504;-46,6293884
639;-23,6624094;-46,6216382
640;-23,567238;-46,6894036
641;-23,531693;-46,789925
642;-23,5477321;-46,6227397
643;-23,5733085;-46,7502959
644;-23,5813474;-46,7668248
645;-23,5862402;-46,5770552
646;-23,5677105;-46,7982935
647;-23,5639674;-46,6644515
648;-23,4103751;-46,8978066
649;-23,5905819;-46,792069
650;-23,4754205;-46,6755126
651;-23,583879;-46,7546254
652;-23,4837551;-46,7006343
653;-23,6522291;-46,8057465
654;-23,5778957;-46,7701994
655;-23,5441792;-46,741433
656;-23,5891666;-46,7875313
657;-23,5819136;-46,735081
658;-23,5769082;-46,8574307
659;-23,5796076;-46,6737943
660;-23,679337;-46,748394
661;-23,5387497;-46,8160659
662;-23,608415;-46,744083
663;-23,5963317;-46,9171131
664;-23,5640317;-46,7111356
665;-23,501544;-46,7012538
666;-23,6386417;-46,8060242
667;-23,3008514;-46,7367874
668;-23,5523872;-46,6990676
669;-23,5750455;-46,5327215
670;-23,5845403;-46,728335
671;-23,5644411;-46,7477091
672;-23,715309;-46,7028651
673;-23,5292104;-46,686998
674;-23,57985;-46,7730113
675;-23,5098168;-46,7649183
676;-23,528476;-46,7279585
677;-23,5732178;-46,8017146
678;-23,5708819;-46,7325256
679;-23,6098247;-46,8394749
680;-23,5450558;-46,6869489
681;-23,5760711;-46,7474673
682;-23,5742741;-46,7379204
683;-23,572831;-46,829053
684;-23,755911;-46,7094749
685;-23,6192562;-46,7657903
686;-23,5334653;-46,7604653
687;-23,5300809;-46,7265723
688;-23,604521;-46,7624177
689;-23,5795762;-46,8768551
690;-23,5540814;-46,6780683
691;-23,5964957;-46,7956977
692;-23,5542897;-46,7903528
693;-23,5574074;-46,7550164
694;-23,6115889;-46,9358507
695;-23,558701;-46,6793453
696;-23,5620802;-46,7433257
697;-23,5674361;-46,7489381
698;-23,5218274;-46,4038747
699;-23,620298;-46,6215158
700;-23,5732599;-46,7476732
701;-23,5688494;-46,7655119
702;-23,531693;-46,789925
703;-23,5121334;-46,7577263
704;-23,3477958;-46,7531387
705;-23,5319607;-46,8261867
706;-23,5454634;-46,8319033
707;-23,519222;-46,836739
708;-23,6546946;-46,6617248
709;-23,6085304;-46,8994313
710;-23,5301359;-46,7812257
711;-23,5441478;-46,6862904
712;-23,5536799;-46,7520304
713;-23,5285682;-46,7984603
714;-23,5703032;-46,7492023
715;-23,5464554;-46,7844703
716;-23,6315128;-46,7776782
717;-23,5706798;-46,7446735
718;-23,520947;-46,449661
719;-23,465253;-46,6849193
720;-23,5704741;-46,7302071
721;-23,5662072;-46,7576072
722;-23,541355;-46,771801
723;-23,6515085;-46,8521864
724;-23,5728771;-46,7691336
725;-23,5002565;-46,670523
726;-23,574247;-46,723675
727;-23,4790251;-46,743708
728;-23,5656245;-46,6875096
729;-23,570321;-46,7317785
730;-23,59185;-46,753596
731;-23,4992269;-46,8006726
732;-23,6079594;-46,7555497
733;-23,5574074;-46,7550164
734;-23,4975562;-46,648985
735;-23,5321995;-46,6842455
736;-23,5458414;-46,6538425
737;-23,5534041;-46,7441401
738;-23,566915;-46,758457
739;-23,5865569;-46,67825
740;-23,5398527;-46,6846204
741;-23,5581216;-46,6735013
742;-23,531693;-46,789925
743;-23,563286;-46,754655
744;-23,6299041;-46,6220842
745;-23,604275;-46,9401745
746;-23,5827501;-46,7496425
747;-23,396452;-46,321445
748;-23,6069753;-46,6374952
749;-23,5124913;-46,7897654
750;-23,6191177;-46,5592775
751;-23,6176029;-46,785934
752;-23,2736086;-46,7424307
753;-23,6920652;-47,0208699
754;-23,5331514;-46,6592231
755;-23,545023;-46,6924856
756;-23,5827399;-46,6770132
757;-23,5820368;-46,916015
758;-23,5802699;-46,7693436
759;-23,5476951;-46,8696756
760;-23,531693;-46,789925
761;-23,5463414;-46,6823735
762;-23,5931737;-46,6471111
763;-23,569289;-46,6633529
764;-23,5545386;-46,7506616
765;-23,5335735;-46,827489
766;-23,5306522;-46,7929297
767;-23,6739736;-46,7447866
768;-23,5998291;-47,0224881
769;-23,5646711;-46,7635055
770;-23,4637201;-46,6815798
771;-23,564343;-46,7426389
772;-23,5705955;-46,7295602
773;-23,5689393;-46,4491129
774;-23,6530183;-46,8153919
775;-23,5700207;-46,764933
776;-23,5753059;-46,7567135
777;-23,5969264;-46,7289379
778;-23,449115;-46,716929
779;-23,5714066;-46,7302658
780;-23,5752816;-46,7589559
781;-23,563086;-46,754748
782;-23,6345762;-46,7567864
783;-23,6368897;-46,7949186
784;-23,5953493;-46,952638
785;-23,5661349;-46,7470532
786;-23,5940528;-46,7510909
787;-23,5773072;-46,7167214
788;-23,5606721;-46,7536368
789;-23,5967348;-46,7614099
790;-23,5649909;-46,7656703
791;-23,550681;-46,6805054
792;-23,561915;-46,746819
793;-23,5699401;-46,7308107
794;-23,5879604;-46,7401478
795;-23,5719651;-46,77737
796;-23,5795762;-46,8768551
797;-21,1822591;-47,8073117
798;-23,5774514;-46,7524651
799;-23,5652115;-46,761522
800;-23,6591597;-46,859953
801;-23,5623574;-46,6477377
